,encoder,data
251,251,-9802599.998709124
252,252,-9828553.765920827
253,253,-9854021.818846816
254,254,-9879033.58605852
255,255,-9902512.353270223
256,256,-9925282.906196214
257,257,-9947737.673407918
258,258,-9969536.797762478
259,259,-9990153.707831325
260,260,-10009887.760757314
261,261,-10028708.456540447
262,262,-10047365.938037865
263,263,-10064757.419535283
264,264,-10081928.901032701
265,265,-10098488.096815836
266,266,-10114451.292598968
267,267,-10129030.274096387
268,268,-10143132.755593805
269,269,-10156539.522805508
270,270,-10169129.932874355
271,271,-10181025.3429432
272,272,-10191832.181583477
273,273,-10201747.805938037
274,274,-10211697.144578313
275,275,-10220974.626075732
276,276,-10229041.321858864
277,277,-10236090.660499139
278,278,-10243136.356282271
279,279,-10248954.33777969
280,280,-10254176.319277108
281,281,-10258531.300774526
282,282,-10262066.49655766
283,283,-10265147.263769364
284,284,-10267158.102409638
285,285,-10268246.941049915
286,286,-10269699.851118762
287,287,-10270304.475473322
288,288,-10269420.45697074
289,289,-10268155.152753873
290,290,-10266283.634251291
291,291,-10263121.758605853
292,292,-10259145.382960413
293,293,-10254880.79302926
294,294,-10249849.345955249
295,295,-10244169.613166953
296,296,-10237420.166092943
297,297,-10230209.719018932
298,298,-10222004.12908778
299,299,-10213073.682013769
300,300,-10204063.73493976
301,301,-10193504.430722892
302,302,-10182839.697934596
303,303,-10170981.036574872
304,304,-10158253.160929432
305,305,-10145008.356712565
306,306,-10130590.981067127
307,307,-10116090.462564545
308,308,-10100733.444061963
309,309,-10084748.996987952
310,310,-10068076.692771085
311,311,-10050019.388554217
312,312,-10031227.584337348
313,313,-10011937.422977624
314,314,-9992231.547332184
315,315,-9971691.314543892
316,316,-9950238.724612737
317,317,-9927850.063253013
318,318,-9905179.187607573
319,319,-9881429.02624785
320,320,-9857177.222030982
321,321,-9832311.060671257
322,322,-9806796.685025819
323,323,-9779755.237951808
324,324,-9751971.862306368
325,325,-9724011.272375215
326,326,-9695006.253872633
327,327,-9665278.949655766
328,328,-9635199.78829604
329,329,-9604131.412650602
330,330,-9571708.82271945
331,331,-9538602.30421687
332,332,-9504954.57142857
333,333,-9470742.338640276
334,334,-9436310.034423409
335,335,-9400347.087349398
336,336,-9364261.854561102
337,337,-9326717.550344234
338,338,-9288523.031841652
339,339,-9249259.01333907
340,340,-9210289.994836489
341,341,-9169129.833476765
342,342,-9127796.029259896
343,343,-9086614.939328743
344,344,-9043773.420826161
345,345,-9000224.188037865
346,346,-8956310.598106712
347,347,-8911519.436746987
348,348,-8866103.846815834
349,349,-8819561.399741825
350,350,-8772761.309810672
351,351,-8725657.362736661
352,352,-8676472.772805508
353,353,-8627212.825731497
354,354,-8577470.52151463
355,355,-8527145.07444062
356,356,-8475444.984509466
357,357,-8423318.680292599
358,358,-8371103.661790017
359,359,-8317833.071858864
360,360,-8264138.624784853
361,361,-8209491.891996557
362,362,-8154137.730636833
363,363,-8098323.069277108
364,364,-8041151.550774527
365,365,-7983822.032271945
366,366,-7925844.2994836485
367,367,-7867513.92383821
368,368,-7808655.262478485
369,369,-7748809.958261617
370,370,-7688459.368330465
371,371,-7627895.778399313
372,372,-7566662.831325302
373,373,-7504549.384251291
374,374,-7442301.794320138
375,375,-7379627.490103271
376,376,-7316295.257314974
377,377,-7252285.095955249
378,378,-7187547.220309811
379,379,-7122110.2732358
380,380,-7056522.3975903625
381,381,-6990557.879087781
382,382,-6925320.646299484
383,383,-6858488.127796902
384,384,-6791663.03786575
385,385,-6724419.519363168
386,386,-6656354.358003443
387,387,-6588493.982358005
388,388,-6519588.606712565
389,389,-6450427.016781412
390,390,-6381480.212564545
391,391,-6312261.765490534
392,392,-6241911.604130809
393,393,-6171808.299913942
394,394,-6101831.424268503
395,395,-6031385.83433735
396,396,-5960313.387263339
397,397,-5888502.868760757
398,398,-5816788.2074010335
399,399,-5745689.188898452
400,400,-5673551.598967298
